team,side,games,plays,penalties,penalties_pg,penalty_yds,penalty_yds_pg,pen_per_100_plays,pen_per_100_plays_w,presnap_pen_rate,presnap_pen_rate_w,rz_pen_rate,rz_pen_rate_w,third_fourth_pen,third_fourth_pen_pg,auto_fd_allowed,def_auto_fd_allowed_pg,dpi_yds,def_dpi_yds_pg
PHI,off,17,1441,96.0,5.647058823529412,1136.0,66.82352941176471,6.636183504326646,6.662040249826509,0.025658725137726754,0.025676613462873005,0.013804105547239287,0.013879250520471894,35.0,2.0588235294117645,28.0,1.6470588235294117,80.0,4.705882352941177
PIT,def,17,1379,112.0,6.588235294117647,1296.0,76.23529411764706,8.103697720155186,8.121827411167512,0.03730557575839885,0.03770848440899202,0.012779439075846551,0.01305293691080493,36.0,2.1176470588235294,23.0,1.3529411764705883,87.0,5.117647058823529
PIT,off,17,1422,115.0,6.764705882352941,1354.0,79.6470588235294,8.08607344474631,8.08720112517581,0.028926039334032767,0.029535864978902954,0.012419886838938807,0.012658227848101266,47.0,2.764705882352941,38.0,2.235294117647059,156.0,9.176470588235293
SEA,def,17,1418,113.0,6.647058823529412,1495.0,87.94117647058823,7.968407863528577,7.968970380818053,0.029766398164906078,0.030324400564174896,0.014778701913755436,0.014809590973201692,35.0,2.0588235294117645,29.0,1.7058823529411764,143.0,8.411764705882353
SEA,off,17,1401,128.0,7.529411764705882,1379.0,81.11764705882354,8.97851199479456,9.136331192005711,0.03939005814338976,0.039257673090649536,0.011535390205940152,0.012134189864382585,39.0,2.2941176470588234,30.0,1.7647058823529411,201.0,11.823529411764707
SF,def,17,1336,81.0,4.764705882352941,1147.0,67.47058823529412,5.98208765554967,6.062874251497006,0.019738250663593634,0.020209580838323353,0.013854021031423566,0.014221556886227544,23.0,1.3529411764705883,22.0,1.2941176470588236,165.0,9.705882352941176
SF,off,17,1358,109.0,6.411764705882353,1661.0,97.70588235294117,7.997897642796545,8.026509572901325,0.03419718632780625,0.033873343151693665,0.009724648269707556,0.009572901325478646,29.0,1.7058823529411764,28.0,1.6470588235294117,74.0,4.352941176470588
TB,def,17,1407,95.0,5.588235294117647,1228.0,72.23529411764706,6.825096186253912,6.751954513148543,0.022971846582998653,0.022743425728500355,0.011123342524687442,0.011371712864250177,27.0,1.588235294117647,30.0,1.7647058823529411,74.0,4.352941176470588
TB,off,17,1426,107.0,6.294117647058823,1254.0,73.76470588235294,7.373928230872248,7.503506311360449,0.024961712536748365,0.025946704067321177,0.00904600748009679,0.009817671809256662,34.0,2.0,32.0,1.8823529411764706,155.0,9.117647058823529
TEN,def,17,1348,120.0,7.0588235294117645,1686.0,99.17647058823529,8.677493016754283,8.90207715133531,0.03332066006483725,0.03412462908011869,0.013942584140013717,0.01483679525222552,55.0,3.235294117647059,37.0,2.176470588235294,165.0,9.705882352941176
TEN,off,17,1384,129.0,7.588235294117647,2046.0,120.3529411764706,9.327232804353484,9.320809248554914,0.04161743673153003,0.041184971098265896,0.01216520643813869,0.012283236994219654,42.0,2.4705882352941178,32.0,1.8823529411764706,137.0,8.058823529411764
WSH,def,17,1382,105.0,6.176470588235294,1402.0,82.47058823529412,7.539433382202054,7.597684515195369,0.03134385350959817,0.03183791606367583,0.011155609715865078,0.011577424023154847,46.0,2.7058823529411766,37.0,2.176470588235294,263.0,15.470588235294118
WSH,off,17,1442,109.0,6.411764705882353,1509.0,88.76470588235294,7.462291632597161,7.558945908460472,0.0220658978441343,0.022191400832177532,0.015412117144164975,0.0159500693481276,32.0,1.8823529411764706,34.0,2.0,173.0,10.176470588235293
