week,team,st_plays,st_epa,st_epa_per_play,ko_plays,ko_tb_rate,ko_opp_start_yd100,punt_plays,punt_opp_start_yd100,ret_plays,ret_epa,ret_epa_against,fg_att,fg_made,fg_pct,fg_epa_per_att,xp_att,xp_made,xp_pct,xp_epa_per_att,st_pen_rate
14,DAL,14,2.863609172123298,0.2045435122945213,6,1.0,70.0,4,70.5,0,0.0,0.0,2,0,0.0,1.431804586061649,2,0,0.0,1.431804586061649,0.14285714285714285
14,DET,14,3.8477858096877204,0.2748418435491229,6,1.0,70.0,2,83.5,0,0.0,0.0,2,0,0.0,1.9238929048438602,4,0,0.0,0.9619464524219301,0.07142857142857142
14,GB,14,0.7814603321061808,0.055818595150441484,6,1.0,70.0,3,55.333333333333336,0,0.0,0.0,1,0,0.0,0.7814603321061808,4,0,0.0,0.1953650830265452,0.0
14,JAX,9,0.2943589772818469,0.032706553031316324,3,0.3333333333333333,72.33333333333333,4,75.75,0,0.0,0.0,1,0,0.0,0.2943589772818469,1,0,0.0,0.2943589772818469,0.1111111111111111
14,KC,13,5.385209135335621,0.4142468565642785,4,0.0,70.75,4,71.75,0,0.0,0.0,4,0,0.0,1.3463022838339052,1,0,0.0,5.385209135335621,0.15384615384615385
14,LA,16,2.030538970771774,0.12690868567323588,7,0.42857142857142855,68.57142857142857,2,52.0,0,0.0,0.0,1,0,0.0,2.030538970771774,6,0,0.0,0.3384231617952957,0.0
14,LAC,13,-0.16887418863227976,-0.012990322202483058,5,0.2,72.6,5,56.8,0,0.0,0.0,1,0,0.0,-0.16887418863227976,2,0,0.0,-0.08443709431613988,0.0
14,LV,12,-0.3278934121684953,-0.027324451014041278,5,0.6,69.2,4,66.5,0,0.0,0.0,2,0,0.0,-0.16394670608424766,1,0,0.0,-0.3278934121684953,0.0
14,MIA,16,5.340284144823273,0.33376775905145456,8,0.5,77.375,3,59.333333333333336,0,0.0,0.0,4,0,0.0,1.3350710362058182,1,0,0.0,5.340284144823273,0.0
14,MIN,14,-3.9500018032622966,-0.2821429859473069,5,0.6,71.8,2,54.5,0,0.0,0.0,1,0,0.0,-3.9500018032622966,6,0,0.0,-0.6583336338770495,0.0
14,NO,14,-8.11717404590514,-0.5797981461360814,3,0.3333333333333333,71.66666666666667,7,69.57142857142857,0,0.0,0.0,2,0,0.0,-4.05858702295257,2,0,0.0,-4.05858702295257,0.14285714285714285
14,NYG,13,-2.4832339795627925,-0.19101799842790712,3,0.3333333333333333,71.33333333333333,8,54.5,0,0.0,0.0,2,0,0.0,-1.2416169897813962,0,0,0.0,0.0,0.07692307692307693
