season,week,team,side,plays,successes,sr,epa_per_play
2024,8,LAC,def,28,11,0.392857,-0.1597021192574175
2024,8,LAC,off,28,11,0.392857,-0.07079971834692904
2024,8,LV,def,26,13,0.5,-0.19832441991177172
2024,8,LV,off,19,9,0.473684,-0.18940026075640498
2024,8,MIA,def,28,15,0.535714,0.27461386115360903
2024,8,MIA,off,27,14,0.518519,0.003241000913678565
2024,8,MIN,def,30,14,0.466667,-0.1153596523256662
2024,8,MIN,off,24,13,0.541667,0.10040532471127032
2024,8,NE,def,27,16,0.592593,0.2099753579047198
2024,8,NE,off,24,8,0.333333,-0.19857018774928292
2024,8,NO,def,28,11,0.392857,-0.07079971834692904
2024,8,NO,off,28,11,0.392857,-0.1597021192574175
2024,8,NYG,def,28,16,0.571429,0.09909079775700645
2024,8,NYG,off,28,13,0.464286,0.06573069572082854
2024,8,NYJ,def,24,8,0.333333,-0.19857018774928292
2024,8,NYJ,off,27,16,0.592593,0.2099753579047198
2024,8,PHI,def,24,10,0.416667,-0.4095018879888812
2024,8,PHI,off,28,16,0.571429,0.21704252999812265
2024,8,PIT,def,28,13,0.464286,0.06573069572082854
2024,8,PIT,off,28,16,0.571429,0.09909079775700645
2024,8,SEA,def,32,19,0.59375,0.386364853449777
2024,8,SEA,off,24,11,0.458333,-0.21542373228900638
2024,8,SF,def,25,12,0.48,-0.08802914613042959
2024,8,SF,off,27,18,0.666667,0.3067930193307499
2024,8,TB,def,27,12,0.444444,-0.07130732660880312
2024,8,TB,off,30,17,0.566667,0.08557768145304484
2024,8,TEN,def,23,15,0.652174,0.34219719896993966
2024,8,TEN,off,34,21,0.617647,-0.2064209684219403
2024,8,WAS,def,24,10,0.416667,-0.09495448437034308
2024,8,WAS,off,32,16,0.5,0.12300791539473721
2024,9,ARI,def,26,9,0.346154,-0.36869557310665885
2024,9,ARI,off,26,21,0.807692,0.2540129545881288
2024,9,ATL,def,31,18,0.580645,0.12383460290185476
2024,9,ATL,off,23,16,0.695652,0.3134293875697514
2024,9,BAL,def,26,12,0.461538,-0.13040008347665066
2024,9,BAL,off,27,15,0.555556,0.4801687203526618
2024,9,BUF,def,30,21,0.7,0.09028442228057733
2024,9,BUF,off,27,17,0.62963,-0.051819085631804124
2024,9,CAR,def,32,18,0.5625,0.03264711444535351
2024,9,CAR,off,21,8,0.380952,-0.055747465119652805
2024,9,CHI,def,26,21,0.807692,0.2540129545881288
2024,9,CHI,off,26,9,0.346154,-0.36869557310665885
2024,9,CIN,def,25,12,0.48,-0.33858800676185635
2024,9,CIN,off,31,21,0.677419,-0.04640166377817701
2024,9,CLE,def,21,9,0.428571,-0.10706613455078609
2024,9,CLE,off,32,15,0.46875,-0.18923113989330886
2024,9,DAL,def,23,16,0.695652,0.3134293875697514
2024,9,DAL,off,31,18,0.580645,0.12383460290185476
2024,9,DEN,def,27,15,0.555556,0.4801687203526618
2024,9,DEN,off,26,12,0.461538,-0.13040008347665066
2024,9,DET,def,26,15,0.576923,0.04844722958827893
