season,week,team,drives,td_drives,fg_drives,punt_drives,to_drives,yds,plays,rz_drives,start_yardline_100_avg,ppd_basic_sum,ppd_true_sum,score_drives,score_rate,td_rate,fg_rate,turnover_rate,punt_rate,yds_per_drive,plays_per_drive,redzone_drive_rate,ppd_basic,ppd_points,side,start_own_yardline_avg,hidden_yards_per_drive,avg_start_yardline_100_off,turnover_drives
2025,1,TEN,13,0,4,7,2,133.0,71,2,61.69,12,,4,0.31,0.0,0.3076923076923077,0.1538461538461538,0.5384615384615384,10.23,5.46,0.1538461538461538,0.9230769230769232,0.92,off,38.31,5.08,61.69,1.9999999999999993
2025,1,WAS,9,0,2,6,1,231.0,77,2,78.11,6,,2,0.22,0.0,0.2222222222222222,0.1111111111111111,0.6666666666666666,25.67,8.56,0.2222222222222222,0.6666666666666666,0.67,def,21.89,3.21,78.11,1.0
2025,1,WAS,10,3,0,5,0,432.0,77,4,74.9,21,,3,0.3,0.3,0.0,0.0,0.5,43.2,7.7,0.4,2.1,2.1,off,25.1,3.21,74.9,0.0
2025,2,ARI,8,4,1,2,2,352.0,89,4,75.88,31,,5,0.62,0.5,0.125,0.25,0.25,44.0,11.12,0.5,3.875,3.88,def,24.12,7.38,75.88,2.0
2025,2,ARI,8,2,2,2,1,293.0,59,4,68.5,20,,4,0.5,0.25,0.25,0.125,0.25,36.62,7.38,0.5,2.5,2.5,off,31.5,7.38,68.5,1.0
2025,2,ATL,9,0,2,4,4,198.0,56,1,74.0,6,,2,0.22,0.0,0.2222222222222222,0.4444444444444444,0.4444444444444444,22.0,6.22,0.1111111111111111,0.6666666666666666,0.67,def,26.0,7.2,74.0,4.0
2025,2,ATL,10,1,5,3,1,326.0,79,5,66.8,22,,6,0.6,0.1,0.5,0.1,0.3,32.6,7.9,0.5,2.2,2.2,off,33.2,7.2,66.8,1.0
2025,2,BAL,11,3,1,6,2,322.0,82,3,68.55,24,,4,0.36,0.2727272727272727,0.0909090909090909,0.1818181818181818,0.5454545454545454,29.27,7.45,0.2727272727272727,2.1818181818181817,2.18,def,31.45,6.82,68.55,1.9999999999999998
2025,2,BAL,11,4,2,5,0,242.0,66,4,61.73,34,,6,0.55,0.3636363636363636,0.1818181818181818,0.0,0.4545454545454545,22.0,6.0,0.3636363636363636,3.090909090909091,3.09,off,38.27,6.82,61.73,0.0
2025,2,BUF,10,1,1,7,1,154.0,56,1,72.5,10,,2,0.2,0.1,0.1,0.1,0.7,15.4,5.6,0.1,1.0,1.0,def,27.5,3.3,72.5,1.0
2025,2,BUF,10,3,3,3,0,403.0,81,4,69.2,30,,6,0.6,0.3,0.3,0.0,0.3,40.3,8.1,0.4,3.0,3.0,off,30.8,3.3,69.2,0.0
2025,2,CAR,8,2,2,2,1,293.0,59,4,68.5,20,,4,0.5,0.25,0.25,0.125,0.25,36.62,7.38,0.5,2.5,2.5,def,31.5,-7.38,68.5,1.0
2025,2,CAR,8,4,1,2,2,352.0,89,4,75.88,31,,5,0.62,0.5,0.125,0.25,0.25,44.0,11.12,0.5,3.875,3.88,off,24.12,-7.38,75.88,2.0
2025,2,CHI,12,7,1,3,0,511.0,64,7,62.33,52,,8,0.67,0.5833333333333334,0.0833333333333333,0.0,0.25,42.58,5.33,0.5833333333333334,4.333333333333333,4.33,def,37.67,-8.83,62.33,0.0
2025,2,CHI,12,3,0,4,3,339.0,74,2,71.17,21,,3,0.25,0.25,0.0,0.25,0.3333333333333333,28.25,6.17,0.1666666666666666,1.75,1.75,off,28.83,-8.83,71.17,3.0
2025,2,CIN,12,3,2,2,3,400.0,76,6,66.0,27,,5,0.42,0.25,0.1666666666666666,0.25,0.1666666666666666,33.33,6.33,0.5,2.25,2.25,def,34.0,-2.45,66.0,3.0
2025,2,CIN,11,4,1,3,3,350.0,73,4,68.45,31,,5,0.45,0.3636363636363636,0.0909090909090909,0.2727272727272727,0.2727272727272727,31.82,6.64,0.3636363636363636,2.8181818181818183,2.82,off,31.55,-2.45,68.45,3.0
2025,2,CLE,11,4,2,5,0,242.0,66,4,61.73,34,,6,0.55,0.3636363636363636,0.1818181818181818,0.0,0.4545454545454545,22.0,6.0,0.3636363636363636,3.090909090909091,3.09,def,38.27,-6.82,61.73,0.0
2025,2,CLE,11,3,1,6,2,322.0,82,3,68.55,24,,4,0.36,0.2727272727272727,0.0909090909090909,0.1818181818181818,0.5454545454545454,29.27,7.45,0.2727272727272727,2.1818181818181817,2.18,off,31.45,-6.82,68.55,1.9999999999999998
2025,2,DAL,12,4,3,3,1,506.0,77,5,68.5,37,,7,0.58,0.3333333333333333,0.25,0.0833333333333333,0.25,42.17,6.42,0.4166666666666667,3.083333333333333,3.08,def,31.5,-5.08,68.5,0.9999999999999996
2025,2,DAL,12,4,4,4,1,478.0,101,3,73.58,40,,8,0.67,0.3333333333333333,0.3333333333333333,0.0833333333333333,0.3333333333333333,39.83,8.42,0.25,3.333333333333333,3.33,off,26.42,-5.08,73.58,0.9999999999999996
2025,2,DEN,10,2,5,0,0,473.0,78,6,78.4,29,,7,0.7,0.2,0.5,0.0,0.0,47.3,7.8,0.6,2.9,2.9,def,21.6,16.84,78.4,0.0
2025,2,DEN,9,4,0,3,1,324.0,64,3,61.56,28,,4,0.44,0.4444444444444444,0.0,0.1111111111111111,0.3333333333333333,36.0,7.11,0.3333333333333333,3.111111111111111,3.11,off,38.44,16.84,61.56,1.0
2025,2,DET,12,3,0,4,3,339.0,74,2,71.17,21,,3,0.25,0.25,0.0,0.25,0.3333333333333333,28.25,6.17,0.1666666666666666,1.75,1.75,def,28.83,8.83,71.17,3.0
2025,2,DET,12,7,1,3,0,511.0,64,7,62.33,52,,8,0.67,0.5833333333333334,0.0833333333333333,0.0,0.25,42.58,5.33,0.5833333333333334,4.333333333333333,4.33,off,37.67,8.83,62.33,0.0
2025,2,GB,11,2,1,4,0,230.0,77,2,62.82,17,,3,0.27,0.1818181818181818,0.0909090909090909,0.0,0.3636363636363636,20.91,7.0,0.1818181818181818,1.5454545454545454,1.55,def,37.18,-3.85,62.82,0.0
