season,team,side,drives,score_rate,td_rate,fg_rate,turnover_rate,punt_rate,ppd_basic,ppd_points,yds_per_drive,plays_per_drive,redzone_drive_rate,start_yardline_100_avg
2024,PHI,def,254,0.28706591028019596,0.16104662533233963,0.12601928494785636,0.15697589447589447,0.32091499770071197,1.5053842321699464,1.5053842321699464,24.315660728160726,6.620171561242991,0.3321460946460946,65.6089392089392
2024,PHI,off,336,0.32270731709033346,0.21137881357916738,0.11132850351116605,0.05109545147139133,0.20790376715852169,1.8136372055876702,1.8136372055876702,23.30084528904188,5.409085455431099,0.46471441662175855,55.04149387457106
2024,PIT,def,241,0.2898015927427692,0.18196242755066283,0.10783916519210637,0.13384757943581474,0.29310765487236073,1.597254488430959,1.597254488430959,25.345924010629894,6.137456715397892,0.38915588768529946,62.64116629557806
2024,PIT,off,258,0.30610973993326934,0.1540729241709634,0.15203681576230596,0.07791711284358344,0.3033239182748987,1.5346209164836617,1.5346209164836617,22.42877299715535,5.885238889650655,0.32322790680633817,61.70264969688989
2024,SEA,def,244,0.2911380043801279,0.1756804924875404,0.11545751189258746,0.09473422932719965,0.32888593478194644,1.5761359830905453,1.5761359830905453,23.545497810936713,5.896969510992458,0.3276392421698377,64.59565579026287
2024,SEA,off,240,0.2857417365612594,0.17480472465675523,0.11093701190450417,0.10520369192514521,0.32157631720552865,1.5564441083107994,1.5564441083107994,24.075536621152175,5.968508284800855,0.28794334118500936,64.93849744167082
2024,SF,def,223,0.3682863704922528,0.23433404830463656,0.1339523221876163,0.0864721063250475,0.2678794244970715,2.0421953046953045,2.0421953046953045,24.234393792482027,6.063997277232572,0.37492164698047054,59.5270051027404
2024,SF,off,228,0.31820699485059345,0.1771492060419396,0.14105778880865386,0.13385916275189633,0.20531085600289753,1.6632178087195388,1.6632178087195388,28.351560511768124,6.064441575341229,0.38356478200768857,61.73232691952415
2024,TB,def,253,0.31958368285767663,0.1759198022097919,0.1436638806478848,0.08951366687434799,0.23804688722774378,1.6624302574121976,1.6624302574121976,24.74263899418053,6.0471985001009765,0.3479942746261116,59.665629214648824
2024,TB,off,239,0.3940664273997607,0.25702784869451534,0.13703857870524538,0.09858736942070274,0.2215808882475549,2.2103106769773437,2.2103106769773437,30.249901179067844,6.39043903627237,0.41898225231558567,63.28470025345026
2024,TEN,def,249,0.3055172909912484,0.1961989769675073,0.10931831402374109,0.08064091557080084,0.2960927561683344,1.7013477808437742,1.7013477808437742,21.71346917363581,5.535841767047376,0.3345230219000935,60.03336141463304
2024,TEN,off,228,0.28803459662820435,0.1780426581350821,0.10999193849312225,0.14684932623377353,0.334342192642138,1.5762744224249414,1.5762744224249414,23.663694267245532,6.29911721228649,0.27543861771689127,66.44208962868815
2024,WAS,def,267,0.35741796215480426,0.2421264116000958,0.11529155055470845,0.11202158221895064,0.256669635189372,2.0407595328647963,2.0407595328647963,27.531414097598308,6.447396707824339,0.4037974087316193,61.79729331341173
2024,WAS,off,278,0.3797777222777223,0.2293238011988012,0.15045392107892108,0.06292811355311355,0.1843806193806194,2.0566283716283715,2.0566283716283715,27.03285298035298,6.2216304528804525,0.4297492091242091,57.78537629037629
