season,week,team,drives,td_drives,fg_drives,punt_drives,to_drives,yds,plays,rz_drives,start_yardline_100_avg,ppd_basic_sum,ppd_true_sum,score_drives,score_rate,td_rate,fg_rate,turnover_rate,punt_rate,yds_per_drive,plays_per_drive,redzone_drive_rate,ppd_basic,ppd_points,side
2024,17,GB,18,3,2,2,2,441.0,92,5,59.5,27,,5,0.2777777777777778,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.1111111111111111,24.5,5.111111111111111,0.2777777777777778,1.5,1.5,def
2024,17,GB,10,3,1,4,1,273.0,77,4,62.3,24,,4,0.4,0.3,0.1,0.1,0.4,27.3,7.7,0.4,2.4,2.4,off
2024,17,HOU,11,4,1,4,0,432.0,76,4,77.0909090909091,31,,5,0.45454545454545453,0.36363636363636365,0.09090909090909091,0.0,0.36363636363636365,39.27272727272727,6.909090909090909,0.36363636363636365,2.8181818181818183,2.8181818181818183,def
2024,17,HOU,12,0,0,6,1,211.0,71,2,73.16666666666667,0,,0,0.0,0.0,0.0,0.08333333333333333,0.5,17.583333333333332,5.916666666666667,0.16666666666666666,0.0,0.0,off
2024,17,IND,15,6,1,3,0,389.0,77,9,54.53333333333333,45,,7,0.4666666666666667,0.4,0.06666666666666667,0.0,0.2,25.933333333333334,5.133333333333334,0.6,3.0,3.0,def
2024,17,IND,16,4,2,1,3,446.0,94,10,51.9375,34,,6,0.375,0.25,0.125,0.1875,0.0625,27.875,5.875,0.625,2.125,2.125,off
2024,17,JAX,11,1,2,3,1,337.0,83,2,64.54545454545455,13,,3,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.2727272727272727,30.636363636363637,7.545454545454546,0.18181818181818182,1.1818181818181819,1.1818181818181819,def
2024,17,JAX,11,2,2,3,0,295.0,72,2,63.72727272727273,20,,4,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.0,0.2727272727272727,26.818181818181817,6.545454545454546,0.18181818181818182,1.8181818181818181,1.8181818181818181,off
2024,17,KC,11,1,1,4,3,364.0,93,4,76.81818181818181,10,,2,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.36363636363636365,33.09090909090909,8.454545454545455,0.36363636363636365,0.9090909090909091,0.9090909090909091,def
2024,17,KC,12,4,1,5,1,389.0,76,5,60.416666666666664,31,,5,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.4166666666666667,32.416666666666664,6.333333333333333,0.4166666666666667,2.5833333333333335,2.5833333333333335,off
2024,17,LA,11,1,1,4,2,396.0,93,5,73.0,10,,2,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.36363636363636365,36.0,8.454545454545455,0.45454545454545453,0.9090909090909091,0.9090909090909091,def
2024,17,LA,15,1,2,6,1,257.0,72,2,71.5,13,,3,0.2,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.4,17.133333333333333,4.8,0.13333333333333333,0.8666666666666667,0.8666666666666667,off
2024,17,LAC,11,1,0,4,1,181.0,68,1,67.81818181818181,7,,1,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.36363636363636365,16.454545454545453,6.181818181818182,0.09090909090909091,0.6363636363636364,0.6363636363636364,def
2024,17,LAC,13,4,4,2,0,428.0,94,8,57.07692307692308,40,,8,0.6153846153846154,0.3076923076923077,0.3076923076923077,0.0,0.15384615384615385,32.92307692307692,7.230769230769231,0.6153846153846154,3.076923076923077,3.076923076923077,off
2024,17,LV,13,1,1,7,2,269.0,79,3,66.76923076923077,10,,2,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.5384615384615384,20.692307692307693,6.076923076923077,0.23076923076923078,0.7692307692307693,0.7692307692307693,def
2024,17,LV,16,2,4,4,0,388.0,91,6,59.125,26,,6,0.375,0.125,0.25,0.0,0.25,24.25,5.6875,0.375,1.625,1.625,off
2024,17,MIA,12,0,1,5,3,276.0,92,3,72.66666666666667,3,,1,0.08333333333333333,0.0,0.08333333333333333,0.25,0.4166666666666667,23.0,7.666666666666667,0.25,0.25,0.25,def
2024,17,MIA,18,2,2,7,1,280.0,76,5,52.94444444444444,20,,4,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.3888888888888889,15.555555555555555,4.222222222222222,0.2777777777777778,1.1111111111111112,1.1111111111111112,off
2024,17,MIN,10,3,1,4,1,273.0,77,4,62.3,24,,4,0.4,0.3,0.1,0.1,0.4,27.3,7.7,0.4,2.4,2.4,def
